ダウンロードした時刻：2020/03/30 11:33:35

,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原
2018/6/30 8:00:00,25.8,8,1,0.0,8,1,,0,1,5.7,8,南南西,8,1,26.2,8,1,0.0,8,1,,0,1,8.7,8,南南西,8,1,29.7,8,1,0,1,8,1,69,8,1,4.7,8,南,8,1,30.4,8,1,0.0,8,1,,0,1,2.1,8,南南西,8,1,29.6,8,1,0.0,8,1,,0,1,4.7,8,南南西,8,1,28.6,8,1,0.0,8,1,,0,1,3.6,8,南,8,1,22.7,8,1,0,1,8,1,73,8,1,2.4,8,北北西,8,1,26.9,8,1,0,1,8,1,85,8,1,3.6,8,西,8,1,29.9,8,1,0.0,8,1,,0,1,3.3,8,南西,8,1
2018/6/30 9:00:00,26.2,8,1,0.0,8,1,,0,1,8.1,8,南,8,1,27.0,8,1,0.0,8,1,,0,1,8.1,8,南,8,1,30.6,8,1,0,1,8,1,61,8,1,5.5,8,南,8,1,30.9,8,1,0.0,8,1,,0,1,2.2,8,南,8,1,30.7,8,1,0.0,8,1,,0,1,4.6,8,南,8,1,29.4,8,1,0.0,8,1,,0,1,4.1,8,南南西,8,1,24.2,8,1,0,1,8,1,71,8,1,1.3,8,北北西,8,1,27.6,8,1,0.0,0,8,1,84,8,1,3.8,8,西南西,8,1,31.0,8,1,0.0,8,1,,0,1,4.3,8,南南西,8,1
2018/6/30 10:00:00,26.9,8,1,0.0,8,1,,0,1,7.4,8,南南西,8,1,27.2,8,1,0.0,8,1,,0,1,9.6,8,南,8,1,31.3,8,1,0,1,8,1,60,8,1,7.5,8,南南東,8,1,32.9,8,1,0.0,8,1,,0,1,3.1,8,南南西,8,1,31.2,8,1,0.0,8,1,,0,1,5.9,8,南,8,1,30.9,8,1,0.0,8,1,,0,1,4.6,8,南,8,1,25.8,8,1,0,1,8,1,66,8,1,2.1,8,東南東,8,1,28.9,8,1,0,1,8,1,79,8,1,4.0,8,西,8,1,31.3,8,1,0.0,8,1,,0,1,3.9,8,南南西,8,1
2018/6/30 11:00:00,27.4,8,1,0.0,8,1,,0,1,7.3,8,南南西,8,1,27.7,8,1,0.0,8,1,,0,1,8.8,8,南,8,1,31.8,8,1,0,1,8,1,61,8,1,6.4,8,南南西,8,1,32.6,8,1,0.0,8,1,,0,1,3.4,8,南南西,8,1,31.8,8,1,0.0,8,1,,0,1,5.7,8,南,8,1,31.1,8,1,0.0,8,1,,0,1,4.8,8,南,8,1,28.3,8,1,0,1,8,1,56,8,1,2.7,8,北,8,1,29.6,8,1,0,1,8,1,74,8,1,4.4,8,西南西,8,1,31.8,8,1,0.0,8,1,,0,1,4.2,8,南南西,8,1
2018/6/30 12:00:00,27.5,8,1,0.0,8,1,,0,1,7.8,8,南,8,1,28.3,8,1,0.0,8,1,,0,1,9.8,8,南,8,1,31.8,8,1,0,1,8,1,61,8,1,6.1,8,南,8,1,33.5,8,1,0.0,8,1,,0,1,2.8,8,南南西,8,1,32.6,8,1,0.0,8,1,,0,1,5.8,8,南,8,1,32.0,8,1,0.0,8,1,,0,1,5.5,8,南,8,1,25.5,8,1,0,1,8,1,65,8,1,4.1,8,北北西,8,1,30.6,8,1,0,1,8,1,67,8,1,4.4,8,西南西,8,1,32.1,8,1,0.0,8,1,,0,1,4.2,8,南南西,8,1
2018/6/30 13:00:00,27.9,8,1,0.0,8,1,,0,1,6.2,8,南,8,1,28.5,8,1,0.0,8,1,,0,1,10.1,8,南,8,1,31.6,8,1,0,1,8,1,61,8,1,6.0,8,南,8,1,32.8,8,1,0.0,8,1,,0,1,2.7,8,南南東,8,1,32.4,8,1,0.0,8,1,,0,1,5.9,8,南,8,1,32.1,8,1,0.0,8,1,,0,1,5.5,8,南,8,1,25.4,8,1,0,1,8,1,66,8,1,4.2,8,北,8,1,31.0,8,1,0,1,8,1,65,8,1,4.3,8,西,8,1,32.4,8,1,0.0,8,1,,0,1,4.6,8,南南西,8,1
2018/6/30 14:00:00,27.9,8,1,0.0,8,1,,0,1,7.5,8,南,8,1,28.2,8,1,0.0,8,1,,0,1,9.9,8,南,8,1,31.7,8,1,0,1,8,1,63,8,1,5.2,8,南南東,8,1,33.2,8,1,0.0,8,1,,0,1,2.4,8,南,8,1,32.6,8,1,0.0,8,1,,0,1,6.3,8,南,8,1,32.3,8,1,0.0,8,1,,0,1,6.6,8,南,8,1,24.5,8,1,0,1,8,1,66,8,1,2.8,8,北北西,8,1,30.5,8,1,0,1,8,1,63,8,1,4.6,8,西南西,8,1,32.1,8,1,0.0,8,1,,0,1,4.2,8,南西,8,1
2018/6/30 15:00:00,27.7,8,1,0.0,8,1,,0,1,8.5,8,南,8,1,28.2,8,1,0.0,8,1,,0,1,10.5,8,南,8,1,31.5,8,1,0,1,8,1,62,8,1,4.6,8,南,8,1,33.4,8,1,0.0,8,1,,0,1,3.0,8,南,8,1,32.3,8,1,0.0,8,1,,0,1,6.1,8,南,8,1,31.6,8,1,0.0,8,1,,0,1,7.0,8,南,8,1,23.5,8,1,0,1,8,1,69,8,1,4.4,8,北北西,8,1,30.8,8,1,0,1,8,1,65,8,1,4.7,8,西,8,1,32.2,8,1,0.0,8,1,,0,1,5.0,8,南南西,8,1
2018/6/30 16:00:00,27.9,8,1,0.0,8,1,,0,1,7.3,8,南南西,8,1,27.6,8,1,0.0,8,1,,0,1,9.2,8,南,8,1,31.1,8,1,0,1,8,1,58,8,1,8.8,8,南,8,1,32.8,8,1,0.0,8,1,,0,1,2.8,8,南,8,1,31.8,8,1,0.0,8,1,,0,1,5.9,8,南,8,1,31.6,8,1,0.0,8,1,,0,1,7.4,8,南,8,1,22.3,8,1,0,1,8,1,74,8,1,3.4,8,北,8,1,29.6,8,1,0,1,8,1,69,8,1,4.5,8,西,8,1,31.9,8,1,0.0,8,1,,0,1,4.9,8,南南西,8,1
2018/6/30 17:00:00,26.9,8,1,0.0,8,1,,0,1,7.7,8,南南西,8,1,26.8,8,1,0.0,8,1,,0,1,9.8,8,南,8,1,29.9,8,1,0,1,8,1,66,8,1,7.5,8,南,8,1,31.6,8,1,0.0,8,1,,0,1,2.2,8,南,8,1,30.2,8,1,0.0,8,1,,0,1,5.5,8,南,8,1,30.4,8,1,0.0,8,1,,0,1,7.6,8,南,8,1,22.8,8,1,0,1,8,1,72,8,1,2.6,8,北北西,8,1,29.0,8,1,0,1,8,1,71,8,1,4.4,8,西,8,1,31.0,8,1,0.0,8,1,,0,1,3.7,8,南,8,1
2018/6/30 18:00:00,26.0,8,1,0.0,8,1,,0,1,7.7,8,南南西,8,1,25.9,8,1,0.0,8,1,,0,1,8.6,8,南,8,1,29.2,8,1,0,1,8,1,70,8,1,6.4,8,南,8,1,30.4,8,1,0.0,8,1,,0,1,2.8,8,南,8,1,29.3,8,1,0.0,8,1,,0,1,6.3,8,南,8,1,29.9,8,1,0.0,8,1,,0,1,5.5,8,南,8,1,21.1,8,1,0,1,8,1,78,8,1,3.2,8,北北西,8,1,27.8,8,1,0,1,8,1,79,8,1,3.7,8,西北西,8,1,29.6,8,1,0.0,8,1,,0,1,2.9,8,南,8,1
2018/6/30 19:00:00,25.6,8,1,0.0,8,1,,0,1,7.4,8,南,8,1,25.5,8,1,0.0,8,1,,0,1,8.1,8,南南西,8,1,28.8,8,1,0,1,8,1,69,8,1,6.2,8,南,8,1,29.4,8,1,0.0,8,1,,0,1,2.3,8,南,8,1,28.5,8,1,0.0,8,1,,0,1,5.6,8,南,8,1,29.2,8,1,0.0,8,1,,0,1,5.7,8,南,8,1,20.1,8,1,0,1,8,1,82,8,1,2.4,8,北北西,8,1,27.3,8,1,0,1,8,1,80,8,1,3.0,8,西北西,8,1,27.8,8,1,0.0,8,1,,0,1,3.1,8,南南西,8,1
2018/6/30 20:00:00,25.2,8,1,0.0,8,1,,0,1,6.2,8,南南西,8,1,25.3,8,1,0.0,8,1,,0,1,8.7,8,南,8,1,27.9,8,1,0,1,8,1,74,8,1,6.7,8,南,8,1,28.6,8,1,0.0,8,1,,0,1,2.2,8,南,8,1,27.5,8,1,0.0,8,1,,0,1,5.0,8,南,8,1,28.3,8,1,0.0,8,1,,0,1,5.4,8,南,8,1,19.9,8,1,0,1,8,1,84,8,1,0.9,8,北,8,1,27.0,8,1,0,1,8,1,83,8,1,2.4,8,西北西,8,1,27.2,8,1,0.0,8,1,,0,1,3.1,8,南,8,1
2018/6/30 21:00:00,25.0,8,1,0.0,8,1,,0,1,6.8,8,南南西,8,1,25.2,8,1,0.0,8,1,,0,1,8.9,8,南,8,1,27.5,8,1,0,1,8,1,77,8,1,5.3,8,南,8,1,28.0,8,1,0.0,8,1,,0,1,2.3,8,南南西,8,1,26.9,8,1,0.0,8,1,,0,1,4.4,8,南,8,1,27.3,8,1,0.0,8,1,,0,1,5.0,8,南,8,1,20.8,8,1,0,1,8,1,80,8,1,0.8,8,東南東,8,1,27.0,8,1,0,1,8,1,84,8,1,2.4,8,西北西,8,1,26.8,8,1,0.0,8,1,,0,1,2.0,8,南,8,1
2018/6/30 22:00:00,25.0,8,1,0.0,8,1,,0,1,6.3,8,南南西,8,1,25.1,8,1,0.0,8,1,,0,1,9.0,8,南,8,1,27.1,8,1,0,1,8,1,81,8,1,5.3,8,南,8,1,27.5,8,1,0.0,8,1,,0,1,2.2,8,南南西,8,1,26.4,8,1,0.0,8,1,,0,1,2.5,8,南,8,1,26.8,8,1,0.0,8,1,,0,1,5.5,8,南,8,1,21.0,8,1,0,1,8,1,80,8,1,1.0,8,南南東,8,1,27.1,8,1,0,1,8,1,84,8,1,2.4,8,西,8,1,26.7,8,1,0.0,8,1,,0,1,2.2,8,南南西,8,1
2018/6/30 23:00:00,25.0,8,1,0.0,8,1,,0,1,7.4,8,南南西,8,1,24.9,8,1,0.0,8,1,,0,1,8.6,8,南,8,1,26.9,8,1,0,1,8,1,82,8,1,5.4,8,南,8,1,27.1,8,1,0.0,8,1,,0,1,1.8,8,南,8,1,26.5,8,1,0.0,8,1,,0,1,3.1,8,南,8,1,26.3,8,1,0.0,8,1,,0,1,3.2,8,南,8,1,20.2,8,1,0,1,8,1,83,8,1,1.6,8,西北西,8,1,27.1,8,1,0,1,8,1,84,8,1,2.2,8,西,8,1,26.4,8,1,0.0,8,1,,0,1,2.3,8,南,8,1
2018/7/1 00:00:00,24.9,8,1,0.0,8,1,,0,1,6.9,8,南,8,1,24.9,8,1,0.0,8,1,,0,1,9.0,8,南,8,1,26.4,8,1,0,1,8,1,85,8,1,5.2,8,南,8,1,26.7,8,1,0.0,8,1,,0,1,1.9,8,南南西,8,1,25.8,8,1,0.0,8,1,,0,1,3.3,8,南南西,8,1,25.8,8,1,0.0,8,1,,0,1,3.2,8,南,8,1,20.2,8,1,0,1,8,1,84,8,1,0.2,8,静穏,8,1,26.9,8,1,0.0,0,8,1,85,8,1,1.9,8,西南西,8,1,26.1,8,1,0.0,8,1,,0,1,1.9,8,南,8,1
